,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
423,2019-10-14,8283.76,13008091666972.0,17991637.5,244339.85531,149105695781.25,8275.24,8388.85,8203.0,8348.2,29810.663253,345679,15273.003755,8159.29
424,2019-10-15,8353.54,13008091666972.0,17993850.0,244482.672129,147234677625.0,8346.86,8403.0,8090.0,8159.29,32773.062476,399447,16822.940015,8070.58
425,2019-10-17,8002.51,13008091666972.0,17996075.0,244794.941106,143977598037.5,7995.02,8124.92,7929.03,8070.58,29656.949158,356490,15922.046058,7947.01
426,2019-10-18,8076.78,13008091666972.0,17998325.0,244959.740866,145291478562.5,8070.71,8115.0,7816.01,7947.01,31353.181416,399783,15692.63445,7948.01
427,2019-10-19,7954.15,13008091666972.0,18000550.0,245110.527857,142717360675.0,7946.89,8098.1,7866.92,7948.01,26627.889388,349746,13886.838244,8223.35
428,2019-10-20,7960.04,13008091666972.0,18002775.0,245248.315033,144202227750.0,7949.87,8297.0,7870.0,8223.35,34286.452654,396091,18042.423677,8197.27
429,2019-10-21,8231.06,13008091666972.0,18005012.5,245371.128908,147308009768.75,8223.35,8333.0,8142.03,8197.27,30448.679539,367169,16584.000384,8020.0
430,2019-10-22,8222.52,13008091666972.0,18007225.0,245531.89199,147425151075.0,8197.28,8297.99,8000.0,8020.0,34651.828663,384699,16767.036824,7466.62
431,2019-10-23,8026.76,13069108485875.8,18009462.5,245694.084465,134746798425.0,8020.06,8047.59,7300.0,7466.62,63897.457098,610241,28473.730302,8655.02
432,2019-10-25,7431.88,13691480038694.0,18011675.0,246003.428052,134051891187.5,7412.41,8799.0,7361.0,8655.02,90748.218174,775418,49588.976612,9230.0
433,2019-10-26,8666.79,13691480038694.0,18013887.5,246167.917176,170096132718.75,8655.88,10370.0,8470.38,9230.0,162588.585413,1185369,81590.336531,9529.93
434,2019-10-27,9259.8,13691480038694.0,18016100.0,246338.938816,174494936550.0,9230.0,9794.98,9074.34,9529.93,93833.541604,799978,47320.55467,9407.62
435,2019-10-29,9218.76,13691480038694.0,18018312.5,246626.906326,166858582906.25,9204.45,9550.0,9072.0,9407.62,64158.462446,559589,32787.049174,9154.72
436,2019-10-30,9433.35,13691480038694.0,18020537.5,246781.148028,164545527912.5,9407.62,9409.84,9001.01,9154.72,55241.786434,524035,27416.561748,9140.85
437,2019-10-31,9164.62,13691480038694.0,18022750.0,246927.561497,167188040375.0,9154.02,9405.0,8913.0,9140.85,54376.024902,490183,27252.203536,9289.52
438,2019-11-02,9252.99,13691480038694.0,18024975.0,247232.538294,166613856412.5,9231.4,9373.74,9186.21,9289.52,28923.060828,325421,15316.187863,9194.71
439,2019-11-03,9301.18,13691480038694.0,18027212.5,247365.134976,165417701900.0,9289.85,9362.57,9066.14,9194.71,27894.378279,326024,13611.806558,9393.35
440,2019-11-04,9206.16,13691480038694.0,18029437.5,247498.935104,167962239750.0,9196.46,9513.68,9115.84,9393.35,45894.456277,453749,24741.815925,9339.05
441,2019-11-06,9310.19,13691480038694.0,18031662.5,247816.556845,168190331968.75,9307.73,9440.91,9250.01,9339.05,37336.170372,402997,18947.024127,9216.2
442,2019-11-07,9343.34,13669891710442.8,18033875.0,247984.711069,166434632375.0,9339.16,9375.0,9101.0,9216.2,39117.470853,401984,19603.523572,8773.73
443,2019-11-08,9204.24,12720005267391.0,18036087.5,248143.749444,158122379112.5,9214.0,9261.0,8696.0,8773.73,62107.289243,567331,30046.129291,9039.47
444,2019-11-10,8809.41,12720005267391.0,18038300.0,248446.001443,158682925100.0,8809.18,9147.19,8750.0,9039.47,34422.029797,375946,17722.19709,8733.27
445,2019-11-11,9037.12,12720005267391.0,18040525.0,248583.67016,163266751250.0,9040.16,9072.32,8618.68,8733.27,44888.053545,415982,22111.943057,8821.94
446,2019-11-12,8717.81,12720005267391.0,18042737.5,248735.343342,158009273656.25,8733.36,8888.0,8567.6,8821.94,40366.629471,406765,20225.03456,8777.12
447,2019-11-13,8801.52,12720005267391.0,18044950.0,248874.77851,157586548350.0,8821.91,8844.99,8702.0,8777.12,26810.116918,281593,13524.993035,8646.68
448,2019-11-14,8762.42,12720005267391.0,18047175.0,249030.689529,155774191012.5,8777.54,8800.0,8582.6,8646.68,33468.468961,337019,16272.816785,8471.73
449,2019-11-15,8632.32,12720005267391.0,18049400.0,249196.673568,152959640300.0,8646.38,8790.0,8400.0,8471.73,46087.417751,423919,22568.290117,8502.4
450,2019-11-17,8482.7,12720005267391.0,18051612.5,249545.811754,153258190125.0,8490.74,8635.0,8350.68,8502.4,27009.037082,259594,13607.516179,8187.17
451,2019-11-18,8503.93,12720005267391.0,18053825.0,249716.672832,152446498300.0,8502.87,8503.52,8060.0,8187.17,43017.69094,366263,20525.116924,8133.64
452,2019-11-19,8175.99,12720005267391.0,18056062.5,249859.339345,145504779656.25,8186.5,8218.63,8003.0,8133.64,43556.061025,357382,21816.725084,8098.01
453,2019-11-20,8120.8,12720005267391.0,18058275.0,250027.466421,146678338687.5,8133.83,8264.29,8038.4,8098.01,32466.23098,288843,16751.186459,7268.23
454,2019-11-22,7617.07,12973235968800.0,18060500.0,250339.608598,137350102500.0,7627.79,7750.0,6790.0,7268.23,126603.140259,817604,60867.912182,7311.57
455,2019-11-23,7286.35,12973235968800.0,18062737.5,250504.643454,131090317406.25,7268.23,7344.48,7080.01,7311.57,50449.894755,414045,25882.631466,6903.28
456,2019-11-24,7324.03,12973235968800.0,18064962.5,250650.257038,129805788043.75,7311.1,7330.39,6861.0,6903.28,67890.206483,446014,33387.528695,7109.57
457,2019-11-25,6907.4,12973235968800.0,18067187.5,250765.021349,130490261718.75,6900.23,7377.69,6515.0,7109.57,119645.735197,679721,60533.393613,7508.52
458,2019-11-27,7163.63,12973235968800.0,18069400.0,251052.507043,127804866200.0,7154.75,7655.0,6840.0,7508.52,92452.87349,582055,47058.028744,7419.49
459,2019-11-28,7523.83,12973235968800.0,18071625.0,251217.171613,135085396875.0,7507.9,7643.0,7360.0,7419.49,56933.981109,388953,28876.708952,7739.68
460,2019-11-29,7431.0,12973235968800.0,18073862.5,251359.648796,139954954268.75,7418.52,7850.0,7362.3,7739.68,60745.300873,412929,31576.88619,7390.89
461,2019-12-01,7557.72,12973235968800.0,18076112.5,251638.082843,135814871268.75,7540.63,7541.85,7210.0,7390.89,60769.342313,420573,31120.002932,7294.28
462,2019-12-02,7402.69,12973235968800.0,18078325.0,251759.14259,132152555750.0,7391.5,7420.56,7151.1,7294.28,46330.25604,326881,24043.616393,7292.71
463,2019-12-03,7309.59,12973235968800.0,18080537.5,251906.959306,131680554612.5,7294.42,7400.0,7241.35,7292.71,33149.477487,265391,16639.294837,7194.32
464,2019-12-04,7296.77,12973235968800.0,18082762.5,252058.805256,135620718750.0,7292.71,7750.0,7067.0,7194.32,83153.701586,516250,41870.640469,7389.0
